"ID","Generator","Status","Result Status","Proxy Role","Keep SR2","Has SR2","Highlight","Aqu_Ca","Aqu_Cl","Aqu_Mg","Aqu_Na","Aqu_SO4","Inj_CaComp","Inj_Cl","Inj_MgComp","Inj_NaComp","Inj_SO4Comp","InjectorStw","Tres","Inj_Temp","Oil_Recovery","Execution Node","Dataset Path","Optimal","Comment"
"46","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","1.0147851","0.29566961","0.7737366","0.0042722954","0.0018513727","0.1267653","0.004855637","0.072397244","0.001479384","278.9834","176.7","170","53.327255","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00046.dat","False",""
"47","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.37145038","2.4094573","0.048374818","1.8741418","0.00996398","6.08159E-05","0.028077796","0.013915811","0.037691132","0.0022665276","278.9834","139.5","230","54.198162","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00047.dat","False",""
"48","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.37145038","4.5014656","0.048374818","1.3239392","0.0052209095","6.08159E-05","0.052749672","0.013915811","0.0897503","0.001479384","212.5589","139.5","200","52.956322","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00048.dat","False",""
"49","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","1.7121212","0.419317","1.3239392","0.00996398","6.08159E-05","0.06508561","0.007875695","0.029014604","0.001479384","225.8438","167.4","220","52.86187","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00049.dat","False",""
"50","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","2.4094573","0.3368854","4.0749522","0.00996398","0.0072230432","0.077421548","0.001835579","0.029014604","0.0020041464","305.5532","195.3","230","53.897549","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00050.dat","False",""
"51","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","5.1988017","0.048374818","2.4243444","0.0061695236","0.0090136","0.015741858","0.013915811","0.063720716","0.0025289088","332.123","186","220","54.229263","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00051.dat","False",""
"52","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","5.8961378","0.00715902","1.3239392","0.0080667518","0.0072230432","0.077421548","0.009385724","0.072397244","0.0004298592","305.5532","176.7","190","61.615757","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00052.dat","False",""
"53","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.28723861","0.317449","0.3368854","2.4243444","0.0014264531","0.004537208","0.1267653","0.013915811","0.04636766","0.0004298592","265.6985","167.4","150","65.68486","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00053.dat","False",""
"54","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.0346033","6.5934739","0.419317","1.3239392","0.0014264531","0.00095609431","0.015741858","0.007875695","0.00298502","0.000167478","199.274","186","160","59.367348","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00054.dat","False",""
"55","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","6.5934739","0.3368854","0.223534","0.0023750672","6.08159E-05","0.089757486","0.01542584","0.029014604","0.0022665276","252.4136","148.8","220","53.668148","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00055.dat","False",""
